prompt,response
New York Harbor,"Oysters spend their lives—a dozen years if we left them alone, but only three or four because we don’t—sucking in seawater, extracting nutrients, and pumping it out again. There used to be enough oysters in New York Harbor to process all the water there. And perhaps this is also why oysters taste like eating the sea."
New York Harbor,The oyster was New Yorkers’ link to the sea.
Pearl Street,"We know that the Lenape ate copious quantities of oysters because oyster shells last a very long time and they left behind tremendous piles of them. These piles, containing thousands of shells, have been found throughout the New York City area. Archaeologists call them shell middens. The most common marker of a pre-European settlement anywhere in the area of the mouth of the Hudson are these piles of oyster shells, sometimes as much as four feet deep, sometimes buried in the ground, sometimes piled high. The early-seventeenth-century Dutch were the first to note the shell middens. One such mountain of oyster shells gave Pearl Street, originally on the waterfront in lower Manhattan, its name."
Kalck Pond,"They took these shells and placed them in fields, where the lime would neutralize acid soil, a technique known at the time as “sweetening” the soil. They also burned shells to render lime paste to be used in colonial construction."
Hudson River,"About thirty miles north of Manhattan, around the town of Peekskill, the Hudson veers to the northwest, which causes tidewaters to move toward the eastern bank, and any oyster eggs deposited in the salt water would drift there. Shellfish beds and therefore middens were clustered on that bank."
Dobbs Ferry,"The native shell beds of the New York area and their residents, Crassostrea virginica, are believed to have first appeared about 10,000 B.C. The oldest Atlantic shell midden, in Dobbs Ferry, has been carbon-dated to about 6950 B.C. give or take a hundred years—long before the arrival of the Lenape three thousand years ago. This marks the oldest evidence of humans ever found in the Hudson Valley."
Manhattan,"The deeper archaeologists dig in a midden, the larger the shells they find. The large bottom shells are older than the smaller top ones, which shows that, contrary to popular belief, even before Europeans arrived, people were overharvesting oysters. On the bottom the very largest ones, described as “giant oysters,” measure eight to ten inches. This suggests that Dutch reports of foot-long oysters were only slightly exaggerated."
New York,"A Crassostrea virginica, like fish and unlike humans, if not taken by man or other predators, and not killed by disease, will grow larger every year of their twelve to fifteen year lives. Factors such as salinity and water temperature determine the speed of growth. But the greatest factor in the size of an oyster is age: how long it has been left to grow in its bed before being harvested. "
Manhattan,"Fine, tall-grassed meadows, the woodlands, fields of wildflowers, the streams, the variety of the cooing and clattering birds, the deliciousness of the native nuts, wild cherries, currants, gooseberries, hazelnuts, apples and pears, and especially strawberries. People who lived by the water could not sleep at night because of the clattering of swans and other waterfowl. The rivers and streams had so many fish—striped bass, sturgeon, shad, drum fish, carp, perch, pike, and trout—that they could be yanked out of the water by hand."
New York Harbor,"The harbor was crowded with bass, cod, weakfish, herring, mackerel, blackfish, as well as frolicking, diving mammals—whales, porpoises, and seals. Bears, wolves, beavers, foxes, raccoons, otters, elk, deer, and even a few “lion,” which may have been panthers or mountain lions, lived in the area."
New York City,"It is not possible to describe how this bay swarms with fish, both large and small, whales, tunnies, and porpoises, whole schools of innumerable other fish, which the eagles and other birds of prey swiftly seize in their talons when the fish comes to the surface."
Lower Manhattan,"A teaming wetland of grassy marshes, which the Mohawk called Gänóno, reedy place, filled with birds and marine life."
Rivington Street,A salty wetland extended to what is today Rivington Street.
Lower Manhattan,In times of heavy rains these streams swelled and cut the island of Manhattan in two.
